Chapter 3: Equipment

The Basics of Equipment
All characters are assumed to begin with sturdy clothes suitable for adventuring. Any other equipment desired should be purchased using the character’s starting wealth of 3d6x10gp. 
Each character should purchase equipment suitable for their class. For example, fighters should purchase arms and armor to fight monsters and survive blows, while thieves need rope, crowbars, lock picks, and other special tools to scale obstacles, find traps, and open locks. Clerics will require holy symbols to drive back undead and mages will need spellbooks to record their dweomers. 

Coins and Money
Equipment is purchased using money. Paper currency is non-existent in the world of Adventurer Conqueror King, so money takes the form of coins of precious metal, the most important of which is the gold piece (gp). A gold piece is worth 2 electrum pieces (ep) or 10 silver pieces (sp). Each silver piece is worth 10 copper pieces (cp). In addition to copper, silver, electrum, and gold coins, there are also platinum pieces (pp), which are each worth 5gp. 

What’s a Gold Piece Worth?
To put the value of currency in perspective, the Standard of Living table, below, shows how far a gold piece will go towards cost of living at different standards of comfort. A single gold piece is enough for a peasant to subsist at a wretched quality of life. Early in their career, adventurers will typically live on a few dozen gold pieces per month, enough to eat and sleep at an inn. A dragon’s treasure hoard of 50,000gp might keep a village of peasants alive for decade, but merely cover a prince’s monthly budget. Wealth is assumed to be highly concentrated in ACKS campaign worlds.

Exchange Value
Coins			Cp	Sp	Ep	Gp	Pp
Copper Piece (cp) =	1	1/10	1/50	1/100	1/500
Silver Piece (sp) =	10	1	1/5	1/10	1/50	
Electrum Piece (ep) =	50	5	1	1/2	1/10
Gold Piece (gp) =   	100	10	2	1	1/5
Platinum Piece (pp) =	500	50	10	5	1

Standard of Living  	Monthly Cost		Common Professions
Wretched    		1gp			Serfs and peasants
Meager			3gp-12gp		Unskilled manual laborers
Adequate		12gp-40gp		Skilled laborers or journeyman crafters, 1st level adventurers
Comfortable		40gp-100gp		Master craftsmen or yeomen farmer (85 acres), 2nd level adventurers
Prosperous		100gp-450gp		Master professionals or landed patrician (200 acres), 3rd-4th level adventurers
Affluent		450gp-2,000gp		Barons or wealthy patricians, 5th-7th level adventurers
Sumptuous		2,000-12,000gp		Marquis or counts, 8th-9th level adventurers
Luxuriant		12,000-80,000gp 	Dukes or princes, 10th-12th level adventurers
Lavishly Opulent	80,000gp+		Kings or emperors, 13th-14th level adventurers

Purchasing Equipment	
The arms, armor, and mundane gear available for purchase are listed on the Weapons and Equipment tables. These lists will also be handy when characters need to restock supplies between adventures. The equipment and other items listed on the Weapons and Equipment table are described in detail in the Equipment Descriptions section. 
Should the players wish to purchase items not provided in the equipment lists, the Judge may use the items available as guidelines for determining new items’ characteristics and including prices.
All purchases should be recorded on the character sheet, noting how much money remains afterward. Most adventurers do not begin play with enough wealth to get everything they want – indeed, the quest for wealth is one of the primary motives for adventuring at all!
Regardless of class limitations, characters of any class may purchase, carry, and use any weapons or armor desired. However, characters who equip themselves with weapons and armor unusable by their class will fight as 0th level characters while so equipped. They also will receive no bonus on their attack throws or armor class from ability scores or equipment, may not use any of their class powers, and do not gain XP. 
EXAMPLE: Quintus, a mage, dons plate armor. While so equipped, he fights as a 0th level character, loses any attack throw or AC bonuses from his ability scores or equipment, cannot cast spells, and does not gain XP.

Equipment Availability
Adventurers may sometimes wish to purchase equipment in greater volume than the town they are in can handle. This is not normally a concern when characters are just beginning their career. But if experienced adventurers decide they want to use a dragon’s hoard to equip all their followers with fur cloaks (15gp each) and purchase a dozen heavy warhorses (750gp each) with plate barding (600gp each), they may find such goods are simply unavailable in the quantities they desire! 
The amount of equipment available for purchase is determined by the price of the equipment relative to the size of the market the adventurers are in. A market can be anything from a village’s humble fair to a city-state’s outdoor bazaar to the ports of a major metropolis. Markets are rated by market class from I to VI, which rate their size and importance.
The vast mercantile hubs of empires, with urban populations of 100,000 or more, constitute Class I. Major ports, national capitals, and other large cities of 25,000 or more inhabitants constitute Class II. Provincial capitals and medium-sized cities of 8,750 to 25,000 inhabitants make up Class III. Small cities and large towns of 3,000 to 8,750 inhabitants make up Class IV. Small towns and large villages of 1,250 to 3,000 inhabitants are Class V. Any village of 1,250 inhabitants or less is Class VI. Market classes are also important for hiring henchmen, as discussed in the Hirelings, Henchmen, Mercenaries, and Specialists section below, and for trade and commerce, as discussed in the Mercantile Ventures section in the Campaigns chapter. 
The Equipment Availability by Market Class table shows how many units of any piece of equipment are available in each type of market each month. Some values will indicate a percentage chance; this is chance of one unit being present at all in any given month. 
Note that the values given are the number of each specific item, not the total number of items at that price level. For instance, a Class IV market will have 5 swords, 5 battle axes, and 5 of each other item priced at 2-10gp. Multiple small items sold as a bundle (such as 12 spikes, 6 torches, 20 arrows, etc) count as one item for purposes of the Equipment Availability by Market Class table.

Equipment Availability by Market Class 
Price	  	       Class I      Class II	       Class III	Class IV	Class V		Class VI
1gp or less	       1,700 	    585	  	       260   		65    		30    		10
2gp-10gp	       100	    30		       15		5		1		1
11-100gp	       15	    5		       2		1		25%		10%
101-1,000gp	       7	    2		       1		25%		10%		5%
1,001-10,000gp	       2	    1		       25%		10%		5%		1%
10,001gp or more       10%	    5%		       2%		NA		NA		NA

EXAMPLE: Marcus is in a city of 20,000, a Class III market. He wants to buy a war galley (60,000gp), medium warhorse (250gp), 2 suits of plate armor (60gp each), 20 swords (10gp each), 100 bundles of 6 torches (1sp each) and 200 flasks of oil (3sp each). A Class III market has 260 units of any equipment priced 1gp or less, so he finds the 100 bundles of 6 torches and 200 flasks of oil without problem. A Class III market has only 15 units of any equipment priced 10gp or less, so only 15 swords are available. Since he needs the weapons to equip his men, he settles on 15 swords and 5 battle-axes. A Class III market has 2 units of equipment priced at 11-100gp and 1 unit at 101-1,000gp, so he is able to buy the 2 suits of plate armor and medium warhorse. There is only a 2% chance of a war galley being available, and the Judge rolls a 42; Marcus cannot find that type of ship in the city this month.

Commissioning Equipment
If equipment the adventurers desire to purchase is not available, they may commission it to be created. The advantage of commissioning equipment is that more equipment can be commissioned than is available as inventory; treat the equipment as if it were one price category less expensive to calculate the volume available. The disadvantage of commissioning equipment is that it is not immediately available. Buildings and vehicles, which can be built by large groups, are constructed at a rate of 1 day per 500gp value. Animals take 1 day per 1gp value to find and train. Other equipment takes 1 day per 5gp value. 
EXAMPLE: Marcus decides he’d like to commission a shipwright to build a war galley. Since Marcus is commissioning the war galley, the Judge checks for availability as if the war galley were one price category less expensive, putting it in the 1,001-10,00gp row. There is a 25% chance that a war galley could be commissioned in a Class III city this month. The Judge rolls a 17 on 1d100, so a shipwright is available. It will take 120 days for the war galley to be finished (60,000gp / 500gp per day). 

Weapons and Equipment
Armor				Cost	AC		|Weapons		           Cost		Damage*
Clothing Only			-	0		|Axes:			
Hide and Fur Armor		10gp	1		|   Battle Axe		           7gp		1d6/1d8
Leather Armor			20gp	2		|   Great Axe (two-handed)     	   10gp		1d10
Ring Mail or Scale Armor	30gp	3		|   Hand Axe  		       	   4gp		1d6
Chain Mail Armor   		40gp	4		|Bows and Crossbows:
Banded Plate or Lamellar Armor	50gp	5		|   Arbalest		           50gp		1d8
Plate Armor  		 	60gp	6		|   Crossbow		       	   30gp		1d6
Shield 				10gp	+1		|      Case with 20 Bolts      	   2gp		
Leather Barding			40gp	1		|   Composite Bow   	       	   40gp		1d6
Scale Barding			75gp	2		|   Longbow   		       	   7gp		1d6
Chain Barding			150gp	3		|   Shortbow		       	   3gp		1d6
Lamellar Barding		300gp	4		|      Quiver with 20 Arrows   	   1gp
Plate Barding			600gp	5		|      1 Silver-Tipped Arrow   	   5gp
      							|Catapults and Ballista:
Adventuring Equipment		  Cost			|   Ballista (800lb)		   80gp	        3d6
Backpack (holds 4 stone)	  2gp			|      Ballista Shot 	       	   4gp
Barrel (20 gallon)		  3sp			|   Heavy Catapult (1,800lb)   	   200gp	4d6
Belladonna (1lb)		  10gp			|   Light Catapult (1,200lb)   	   100gp	3d6
Blanket (wool, thick)		  2gp			|      Catapult Shot (25lb)    	   5gp		
Birthwort (1lb)			  10gp			|      Catapult Shot, Pitch (25lb) 25gp
Candle (tallow, 1lb)		  2sp			|Flails, Hammers, and Maces:	   
Candle (wax, 1lb)		  6sp			|   Club 	      		   1gp		1d4
Chest (ironbound, holds 20 stone) 22gp			|   Flail			   5gp		1d6/1d8
Comfrey (1lb)	  	   	  10gp			|   Mace			   5gp		1d6/1d8
Crowbar				  1gp			|   Morning Star (two-handed)	   10gp		1d10
Flask of Oil (common, 1 pint)	  3sp			|   War Hammer 	 		   5gp		1d6/1d8
Flask of Oil (military, 1 pint)	  2gp			|Spears and Pole Arms
Garlic (1lb) 		  	  5gp			|   Lance (mounted)		   1gp		1d10
Goldenrod (1lb)			  10gp			|   Javelin			   1gp		1d6
Grappling Hook			  25gp			|   Pole Arm (two-handed)	   7gp		1d10
Hammer (small)			  2gp			|   Spear    			   3gp		1d6/1d8
Holy Symbol			  25gp			|Swords and Daggers:
Holy Water (1 pint)		  25gp			|   Dagger			   3gp		1d4
Ink (1 oz.)   			  8gp			|   Silver Dagger		   30gp		1d4
Iron Spikes (12)		  1gp			|   Short Sword			   7gp		1d6
Lantern	    			  10gp			|   Sword 			   10gp		1d6/1d8
Lock				  20gp			|   Two-Handed Sword		   15gp		1d10
Mirror (hand-sized, steel)	  5gp			|Other Weapons:
Musical instrument  		  25-100gp		|   Bola			   5gp		1d2
Pouch/Purse (holds ½ stone)	  5sp			|   Darts (5)			   2gp		1d4
Pole, Wooden (10’ long)		  1sp			|   Net	  			   1gp		-
Rations, Iron (one week)	  1- 6gp		|   Sling with 30 Sling Bullets	   2gp		1d4
Rations, Standard (one week)	  3sp - 3gp		|   Sap	       	  		   1gp		1d4
Rope (50’ length)      		  1gp 			|   Staff (two-handed)		   1gp		1d6
Sack (small, holds 2 stone)	  3sp			|   Whip  			   5gp		1d2
Sack (large, holds 6 stone) 	  8sp			|
Spell Book (blank)   		  20gp			|*Where two damage values are listed, the first  is for one-handed
Stakes (4) and Mallet		  3gp			| and the second is for two-handed use.
Tent   	       			  20gp			|
Thieves’ Tools			  25gp			|
Tinder Box (flint & steel)	  8sp			|
Torches (6)	    		  1sp			|
Water/Wine Skin			  6sp			|
Wolfsbane (1lb)			  10gp			|
Woundwart (1lb)			  10gp			|


Foodstuffs			  		Cost			|Clothing					Cost
Ale/Beer (cheap, 3 pints)	  		1cp			|Belt / Sash (leather)		    		4sp
Ale/Beer (good, 1 pint)		  		2cp			|Boots (leather, low)		    		6sp
Bread (white, 4lb)		  		1sp			|Boots (leather, high)		    		3gp
Bread (wheat, 8lb)		  		1sp			|Cassock (cleric / mage)	    		7gp
Bread (coarse, 12lb)		  		1sp			|Cloak (fur-lined, winter)	    		15gp
Cheese (1lb)   			  		5cp			|Cloak (long, hooded)		    		1gp
Cinnamon (clover, pepper, sugar) (1lb)		3gp			|Dress (crafter / freeholder)	    		4gp
Dried Fruit (1lb) 	  	 		1sp			|Dress (armiger)  		    		20gp
Eggs (1 dozen)					5cp			|Gown (lady-in-waiting / noble)	    		100gp
Meal (1 person, poor to feast)			1cp-10gp		|Gown (duchess)	       	 	    		1000gp
Meat (beef, chicken, mutton, or pork, 1lb)	1sp			|Gloves				    		4sp
Saffron (1lb)	     	     	      		15gp			|Hat (armiger)			    		10sp
Wine (cheap, 1 pint)				2cp			|Linen (cheap, 1 yard)		   		1gp
Wine (good, 1 pint)				1sp			|Linen (fine, 1 yard)		   	        7gp
Wine (rare, 1 pint)				5sp			|Robe (cleric / mage)		    		6gp
     	      								|Silk (1 yard)			    		15gp
Livestock				        Cost			|Sandals / Shoes (leather)	    		4sp
Chicken (3lb)					1sp			|Tunic and Pants (serf)		    		2gp
Cow (550lb)					10gp			|Tunic and Pants (crafter / freeholder)		4gp
Dog (hunting)					10gp			|Tunic and Pants (armiger)  			20gp
Dog (war)					75gp			|Tunic and Pants (noble)			100gp
Goat (125lb)					3gp			|Wool (cheap, 1 yard)				6sp
Hawk (trained)					20gp			|Wool (fine, 1 yard)				6gp
Pig (125lb)					3gp			|
Sheep (80lb)					2gp			|

Land Transport					Cost			|Maritime Transport			Cost
Camel						100gp			|Barge/raft				1gp/sq ft
Caparison (warhorse)				20gp			|Boat (river)				4000gp
Cart (small)					25gp			|Boat (sailing)				2000gp
Cart (large)					50gp			|Canoe					40gp
Donkey						8gp			|Galley (large)				30,000gp
Horses:									|Galley (small)				10,000gp
   Heavy Draft Horse			        40gp			|Galley (war)				60,000gp
   Heavy Warhorse				700gp			|Longship				15,000gp
   Medium Draft Horse				30gp			|Sailing Ship (large)			20,000gp
   Medium Riding Horse				40gp			|Sailing Ship (small)			10,000gp
   Medium Warhorse				250gp			|Troop Transport (large)		30,000gp
   Light Riding Horse				75gp			|Troop Transport (small)		15,000gp
   Light Warhorse				150gp			|
Mule	 					20gp			|Lodging				Cost
Ox (2,000lb)					40gp			|Cottage (wood)				300gp
Saddle and Tack (draft)				5gp			|Inn (one person, one night, slum)	1sp
Saddle and Tack (riding)			10gp			|Inn, one person, one night, average)	5sp
Saddle and Tack (war)				25gp			|Inn (one person, one night, superb)	2gp
Saddlebags (leather)				5gp			|Hut (wattle)	      	     		25gp
